city ;lat;long ;country;population
trelleborg;55.3667;13.1667;Sweden;
kungsbacka;57.4833;12.0667;Sweden;
lidingoe;59.3667;18.1333;Sweden;
jakobsberg;59.4167;17.8333;Sweden;
sollentuna;59.4667;17.9000;Sweden;
varberg;57.1086;12.2661;Sweden;
djursholm;59.4000;18.0833;Sweden;
ystad;55.4167;13.8167;Sweden;
nacka;59.3000;18.1667;Sweden;
falkenberg;56.8981;12.5019;Sweden;
taeby;59.5000;18.0500;Sweden;
lysekil;58.2833;11.4333;Sweden;
tumba;59.2000;17.8167;Sweden;
arloev;55.6333;13.0667;Sweden;
kungaelv;57.8667;11.9667;Sweden;
lidkoeping;58.5000;13.1667;Sweden;
haessleholm;56.1500;13.7667;Sweden;
eskilstuna;59.3667;16.5000;Sweden;
lomma;55.6833;13.0833;Sweden;
soedertaelje;59.2000;17.6167;Sweden;
borgholm;56.8833;16.6500;Sweden;
tyresoe;59.2333;18.3000;Sweden;
uddevalla;58.3667;11.9333;Sweden;
huddinge;59.2333;17.9833;Sweden;
norrtaelje;59.7667;18.7000;Sweden;
oskarshamn;57.2667;16.4333;Sweden;
skoevde;58.4000;13.8500;Sweden;
landskrona;55.8667;12.8333;Sweden;
arvika;59.6667;12.5667;Sweden;
vaestervik;57.7500;16.6333;Sweden;
moelnlycke;57.6500;12.1333;Sweden;
avesta;60.1500;16.2000;Sweden;
aengelholm;56.2500;12.8667;Sweden;
partille;57.7333;12.1167;Sweden;
nynaeshamn;58.9044;17.9464;Sweden;
stenungsund;58.0833;11.8167;Sweden;
oeckeroe;57.7081;11.6413;Sweden;
baalsta;59.5833;17.5000;Sweden;
aastorp;56.1333;12.9500;Sweden;
maersta;59.6167;17.8500;Sweden;
ekeroe;59.2667;17.7333;Sweden;
enkoeping;59.6333;17.0667;Sweden;
aelmhult;56.5500;14.1333;Sweden;
soederhamn;61.3000;17.0500;Sweden;
skara;58.3667;13.4167;Sweden;
staffanstorp;55.6333;13.2167;Sweden;
oxeloesund;58.6667;17.1000;Sweden;
roenninge;59.2000;17.7333;Sweden;
lerum;57.7667;12.2667;Sweden;
motala;58.5500;15.0500;Sweden;
ljungby;56.8333;13.9333;Sweden;
falkoeping;58.1667;13.5500;Sweden;
kaevlinge;55.8000;13.1000;Sweden;
skoghall;59.3333;13.4333;Sweden;
skurup;55.4667;13.5000;Sweden;
upplands vaesby;59.5167;17.9000;Sweden;
aakersberga;59.4833;18.3000;Sweden;
emmaboda;56.6333;15.5333;Sweden;
knivsta;59.7167;17.8000;Sweden;
gustavsberg;59.3167;18.3833;Sweden;
alingsaas;57.9333;12.5167;Sweden;
kungsaengen;59.4833;17.7500;Sweden;
nybro;56.7500;15.9000;Sweden;
vallentuna;59.5333;18.0833;Sweden;
kumla;59.1333;15.1333;Sweden;
sjoebo;55.6333;13.7000;Sweden;
sandviken;60.6167;16.7667;Sweden;
naessjoe;57.6500;14.6833;Sweden;
esloev;55.8333;13.3333;Sweden;
vellinge;55.4667;13.0167;Sweden;
hudiksvall;61.7333;17.1125;Sweden;
bjuv;56.0833;12.9000;Sweden;
forshaga;59.5333;13.4667;Sweden;
bromoella;56.0667;14.4667;Sweden;
simrishamn;55.5500;14.3333;Sweden;
lilla edet;58.1333;12.1333;Sweden;
straengnaes;59.3833;17.0333;Sweden;
timraa;62.4778;17.3069;Sweden;
laholm;56.5167;13.0333;Sweden;
graestorp;58.3333;12.6833;Sweden;
vaesterhaninge;59.1167;18.1000;Sweden;
svedala;55.5000;13.2333;Sweden;
vetlanda;57.4333;15.0667;Sweden;
baastad;56.4322;12.8333;Sweden;
hultsfred;57.4833;15.8333;Sweden;
gislaved;57.3000;13.5333;Sweden;
vaernamo;57.1833;14.0333;Sweden;
hallstahammar;59.6167;16.2167;Sweden;
saeffle;59.1333;12.9000;Sweden;
alafors;57.9333;12.0833;Sweden;
tomelilla;55.5500;13.9500;Sweden;
ludvika;60.1500;15.1833;Sweden;
vadstena;58.4500;14.9000;Sweden;
sala;59.9167;16.6000;Sweden;
tranaas;58.0500;14.9833;Sweden;
skaerhamn;57.9967;11.5561;Sweden;
eksjoe;57.6667;14.9500;Sweden;
kristinehamn;59.3333;14.1167;Sweden;
gnosjoe;57.3667;13.7333;Sweden;
klippan;56.1333;13.1333;Sweden;
kungshamn;58.3500;11.2500;Sweden;
hallsberg;59.0667;15.1167;Sweden;
vara;58.2667;12.9500;Sweden;
koeping;59.5167;16.0000;Sweden;
nykvarn;59.1833;17.4333;Sweden;
henaan;58.2333;11.6833;Sweden;
lessebo;56.7500;15.2667;Sweden;
karlskoga;59.3333;14.5167;Sweden;
kil;59.5167;13.3167;Sweden;
hofors;60.5500;16.2833;Sweden;
hoeoer;55.9333;13.5333;Sweden;
trosa;58.9000;17.5500;Sweden;
vimmerby;57.6667;15.8500;Sweden;
mellerud;58.7000;12.4667;Sweden;
olofstroem;56.2667;14.5000;Sweden;
hoerby;55.8500;13.6500;Sweden;
svaloev;55.9167;13.1000;Sweden;
surahammar;59.7167;16.2167;Sweden;
gnesta;59.0500;17.3000;Sweden;
flen;59.0667;16.5833;Sweden;
finspaang;58.7167;15.7833;Sweden;
hyltebruk;57.0000;13.2333;Sweden;
fagersta;60.0000;15.7833;Sweden;
oerkelljunga;56.2833;13.2833;Sweden;
bollebygd;57.6667;12.5500;Sweden;
perstorp;56.1333;13.3833;Sweden;
skutskaer;60.6333;17.4167;Sweden;
alvesta;56.9000;14.5500;Sweden;
goetene;58.5333;13.4833;Sweden;
arboga;59.4000;15.8333;Sweden;
sollefteaa;63.1667;17.2667;Sweden;
ronneby;56.2000;15.3000;Sweden;
katrineholm;59.0000;16.2000;Sweden;
broby;56.2500;14.0833;Sweden;
skillingaryd;57.4333;14.0833;Sweden;
moensteraas;57.0333;16.4333;Sweden;
nossebro;58.1833;12.7167;Sweden;
osby;56.3667;13.9833;Sweden;
kramfors;62.9333;17.7925;Sweden;
mullsjoe;57.9167;13.8833;Sweden;
markaryd;56.4333;13.6000;Sweden;
saevsjoe;57.4000;14.6667;Sweden;
munkedal;58.4833;11.6833;Sweden;
krokom;63.3333;14.4500;Sweden;
bengtsfors;59.0333;12.2167;Sweden;
vingaaker;59.0333;15.8667;Sweden;
moerbylaanga;56.5167;16.3833;Sweden;
munkfors;59.8333;13.5333;Sweden;
tingsryd;56.5333;14.9833;Sweden;
aamaal;59.0500;12.7000;Sweden;
hedemora;60.2833;15.9833;Sweden;
degerfors;59.2333;14.4333;Sweden;
soederkoeping;58.4833;16.3000;Sweden;
aneby;57.8333;14.8000;Sweden;
tanumshede;58.7333;11.3167;Sweden;
charlottenberg;59.8833;12.2833;Sweden;
heby;59.9333;16.8833;Sweden;
laxaa;58.9833;14.6167;Sweden;
askersund;58.8833;14.9000;Sweden;
vaxholm;59.4000;18.3333;Sweden;
fjugesta;59.1667;14.8667;Sweden;
aarjaeng;59.3833;12.1333;Sweden;
saeter;60.3500;15.7500;Sweden;
gagnef;60.5833;15.0667;Sweden;
lindesberg;59.5833;15.2500;Sweden;
faergelanda;58.5667;12.0000;Sweden;
smedjebacken;60.1333;15.4167;Sweden;
boden;65.8333;21.7000;Sweden;
nora;59.5167;15.0333;Sweden;
sunne;59.8333;13.1500;Sweden;
aatvidaberg;58.2000;16.0000;Sweden;
vaennaes;63.9167;19.7500;Sweden;
grums;59.3167;13.1000;Sweden;
kalix;65.8500;23.1333;Sweden;
torsaas;56.4000;16.0000;Sweden;
torsby;60.1333;13.0000;Sweden;
hova;58.8667;14.1833;Sweden;
norberg;60.0667;15.9333;Sweden;
piteaa;65.3333;21.5000;Sweden;
oesthammar;60.2667;18.3667;Sweden;
aaseda;57.1667;15.3333;Sweden;
tierp;60.3333;17.5000;Sweden;
leksand;60.7333;15.0167;Sweden;
hoegsby;57.1667;16.0333;Sweden;
oedeshoeg;58.2333;14.6500;Sweden;
storfors;59.5333;14.2667;Sweden;
boxholm;58.2000;15.0500;Sweden;
valdemarsvik;58.2000;16.6000;Sweden;
haellefors;59.7833;14.5000;Sweden;
kopparberg;59.8667;14.9833;Sweden;
bergsjoe;61.9833;17.0667;Sweden;
edsbyn;61.3833;15.8167;Sweden;
skinnskatteberg;59.8333;15.6833;Sweden;
filipstad;59.7167;14.1667;Sweden;
ed;58.9167;11.9167;Sweden;
hagfors;60.0333;13.6500;Sweden;
nordmaling;63.5667;19.5000;Sweden;
ockelbo;60.8833;16.7167;Sweden;
ljusdal;61.8333;16.1000;Sweden;
robertsfors;64.1833;20.8500;Sweden;
oesterbymo;57.8333;15.2667;Sweden;
aelvsbyn;65.6667;21.0000;Sweden;
vansbro;60.5167;14.2167;Sweden;
orsa;61.1167;14.6167;Sweden;
malung;60.6667;13.7000;Sweden;
svenstavik;62.7667;14.4500;Sweden;
hammarstrand;63.1000;16.3500;Sweden;
aange;62.5167;15.6167;Sweden;
stroemsund;63.8500;15.5833;Sweden;
braecke;62.7500;15.4167;Sweden;
norsjoe;64.9167;19.4833;Sweden;
jaerpen;63.3500;13.4833;Sweden;
lycksele;64.6000;18.6667;Sweden;
vindeln;64.2000;19.7333;Sweden;
aelvdalen;61.2333;14.0333;Sweden;
malaa;65.1833;18.7500;Sweden;
bjurholm;63.9333;19.2167;Sweden;
oeverkalix;66.3167;22.8333;Sweden;
storuman;65.1000;17.1000;Sweden;
arvidsjaur;65.5833;19.1667;Sweden;
sveg;62.0333;14.3500;Sweden;
dorotea;64.2667;16.4000;Sweden;
vilhelmina;64.6167;16.6500;Sweden;
gaellivare;67.1333;20.7000;Sweden;
pajala;67.2094;23.3798;Sweden;
aasele;64.1667;17.3333;Sweden;
jokkmokk;66.6050;19.8329;Sweden;
sorsele;65.5324;17.5431;Sweden;
soelvesborg;56.0500;14.5500;Sweden;
arjeplog;66.0486;17.8850;Sweden;
raettvik;60.8833;15.1000;Sweden;
